brand,model,price,kilometrage,body_type,fuel_type,transmission,puissance_fiscale,registration_year,new,fuel_type_simple,year_extracted
Audi,Q3,78000.0,141132.0,SUV,Essence,Automatique,8 cv,11.2015,no,essence,2015.0
Mercedes-Benz,Classe C,149000.0,63779.0,Berline,Essence,Automatique,9 cv,5.2019,no,essence,2019.0
KIA,Sportage,110000.0,99591.0,SUV,Hybride léger diesel,Automatique,7 cv,1.2021,no,hybride,2021.0
Mercedes-Benz,GLC Coupé,232000.0,41765.0,SUV,Hybride rechargeable essence,Automatique,12 cv,10.2021,no,hybride,2021.0
Mercedes-Benz,GLC Coupé,258000.0,47000.0,SUV,Hybride rechargeable essence,Automatique,12 cv,7.2021,no,hybride,2021.0
KIA,Rio 5p,54000.0,68954.0,Citadine,Essence,Manuelle,5 cv,1.2019,no,essence,2019.0
Mercedes-Benz,GLA,218000.0,10730.0,SUV,Hybride rechargeable essence,Automatique,8 cv,1.2024,no,hybride,2024.0
Mercedes-Benz,Classe E,335000.0,10776.0,Berline,Hybride léger essence,Automatique,11 cv,10.2023,no,hybride,2023.0
BMW,X3,52000.0,186000.0,SUV,Diesel,Automatique,13 cv,1.2006,no,diesel,2006.0
Mercedes-Benz,GLC Coupé,198000.0,82415.0,SUV,Hybride rechargeable essence,Automatique,10 cv,9.2020,no,hybride,2020.0
Mercedes-Benz,GLA,89000.0,97000.0,SUV,Essence,Automatique,8 cv,10.2015,no,essence,2015.0
GWM,Poer AT,120000.0,23000.0,Pick up,Diesel,Automatique,7 cv,2.2025,no,diesel,2025.0
BMW,X5,123000.0,226000.0,SUV,Diesel,Automatique,13 cv,2.2016,no,diesel,2016.0
Audi,A5 Sportback,128000.0,96000.0,Berline,Essence,Automatique,8 cv,1.2021,no,essence,2021.0
Volkswagen,Golf 8,121000.0,2400.0,Compacte,Essence,Automatique,8 cv,5.2024,no,essence,2024.0
Volkswagen,Golf 7,58000.0,146000.0,Compacte,Essence,Automatique,5 cv,4.2014,no,essence,2014.0
Mercedes-Benz,GLE Coupé,225000.0,130000.0,SUV,Diesel,Automatique,16 cv,3.2018,no,diesel,2018.0
Mercedes-Benz,GLC,225000.0,76000.0,SUV,Hybride rechargeable essence,Automatique,10 cv,8.2020,no,hybride,2020.0
BMW,Série 1,138000.0,13000.0,Compacte,Essence,Automatique,6 cv,10.2024,no,essence,2024.0
Citroën,DS3,28500.0,147000.0,Autres,Essence,Manuelle,5 cv,9.2013,no,essence,2013.0
Toyota,RAV 4,146000.0,27000.0,SUV,Hybride essence,Automatique,9 cv,3.2023,no,hybride,2023.0
Citroën,Berlingo Van,51000.0,92000.0,Utilitaire,Diesel,Manuelle,5 cv,7.2022,no,diesel,2022.0
Suzuki,Jimny 3 portes,85000.0,88000.0,SUV,Essence,Automatique,6 cv,3.2022,no,essence,2022.0
Audi,A5 Sportback,59000.0,140000.0,Berline,Essence,Automatique,10 cv,10.2015,no,essence,2015.0
Land Rover,Range Rover Sport,265000.0,80000.0,SUV,Essence,Automatique,43 cv,1.2015,no,essence,2015.0
Renault,Alpine A110,80000.0,38000.0,Autres,Hybride rechargeable essence,Automatique,5 cv,4.2025,no,hybride,2025.0
Audi,Q3,118000.0,86000.0,SUV,Essence,Automatique,9 cv,6.2019,no,essence,2019.0
Audi,Q7,230000.0,84000.0,SUV,Diesel,Automatique,15 cv,10.2019,no,diesel,2019.0
Mercedes-Benz,CLA,71000.0,76000.0,Berline,Essence,Manuelle,6 cv,6.2013,no,essence,2013.0
Toyota,Prado,245000.0,215000.0,SUV,Diesel,Automatique,11 cv,5.2019,no,diesel,2019.0
Mercedes-Benz,Classe E,79000.0,152000.0,Berline,Essence,Automatique,10 cv,7.2015,no,essence,2015.0
Audi,A5 Sportback,118000.0,97000.0,Berline,Essence,Automatique,8 cv,5.2020,no,essence,2020.0
Peugeot,Rifter,74000.0,145000.0,Monospace,Diesel,Manuelle,7 cv,1.2020,no,diesel,2020.0
Mercedes-Benz,EQS Berline,310000.0,53000.0,Berline,Electrique,Automatique,8 cv,4.2022,no,electrique,2022.0
Volkswagen,Golf 7,47000.0,108000.0,Compacte,Essence,Automatique,5 cv,9.2013,no,essence,2013.0
Peugeot,3008,63000.0,85000.0,SUV,Essence,Automatique,7 cv,3.2020,no,essence,2020.0
BMW,X1,238000.0,22000.0,SUV,Hybride rechargeable essence,Automatique,8 cv,1.2024,no,hybride,2024.0
BMW,X5,185000.0,105000.0,SUV,Diesel,Automatique,13 cv,12.2017,no,diesel,2017.0
KIA,Rio 5p,54000.0,72000.0,Citadine,Essence,Manuelle,5 cv,1.2019,no,essence,2019.0
Mercedes-Benz,Classe E,123000.0,161000.0,Berline,Essence,Automatique,9 cv,8.2017,no,essence,2017.0
Audi,Q8,350000.0,71000.0,SUV,Hybride léger essence,Automatique,23 cv,5.2021,no,hybride,2021.0
Jeep,Wrangler,255000.0,51000.0,SUV,Essence,Automatique,18 cv,9.2021,no,essence,2021.0
Volkswagen,Tiguan,93000.0,84000.0,SUV,Essence,Automatique,8 cv,9.2020,no,essence,2020.0
Mercedes-Benz,CLS,78000.0,230000.0,Coupé,Diesel,Automatique,11 cv,7.2011,no,diesel,2011.0
Mercedes-Benz,GLE Coupé,225000.0,138000.0,SUV,Essence,Automatique,26 cv,4.2017,no,essence,2017.0
Mercedes-Benz,GLB,188000.0,16000.0,SUV,Diesel,Automatique,8 cv,3.2023,no,diesel,2023.0
BMW,X3,185000.0,85000.0,SUV,Diesel,Automatique,7 cv,6.2020,no,diesel,2020.0
Citroën,C3,36000.0,84000.0,Citadine,Essence,Manuelle,4 cv,2.2018,no,essence,2018.0
Peugeot,208,37500.0,69000.0,Citadine,Essence,Manuelle,5 cv,7.2022,no,essence,2022.0
Mercedes-Benz,Classe A Berline,116000.0,99500.0,Berline,Diesel,Automatique,6 cv,7.2019,no,diesel,2019.0
